State/District/Pincode,Year,Quarter,Registered_Users
673592,2024,4,52264
695001,2024,4,52232
673008,2024,4,50595
682030,2024,4,50428
683561,2024,4,50009
682019,2024,4,49494
leh ladakh,2018,1,7255
kargil,2018,1,1529
194104,2018,1,2329
194101,2018,1,1584
194201,2018,1,1397
194401,2018,1,670
194107,2018,1,641
194103,2018,1,458
194102,2018,1,353
194105,2018,1,259
194106,2018,1,255
194703,2018,1,241
leh ladakh,2018,2,10733
kargil,2018,2,2185
194104,2018,2,3343
194101,2018,2,2388
194201,2018,2,2112
194107,2018,2,984
194401,2018,2,943
194103,2018,2,655
194102,2018,2,511
194105,2018,2,361
194106,2018,2,357
194703,2018,2,342
leh ladakh,2018,3,14617
kargil,2018,3,3132
194104,2018,3,4461
194101,2018,3,3292
194201,2018,3,2882
194107,2018,3,1385
194401,2018,3,1264
194103,2018,3,976
194102,2018,3,717
194105,2018,3,534
194106,2018,3,519
194703,2018,3,468
leh ladakh,2018,4,19447
kargil,2018,4,4436
194104,2018,4,5767
194101,2018,4,4561
194201,2018,4,3824
194107,2018,4,1913
194401,2018,4,1632
194103,2018,4,1460
194102,2018,4,970
194105,2018,4,800
194106,2018,4,706
194703,2018,4,640
leh ladakh,2019,1,23891
kargil,2019,1,5758
194104,2019,1,6985
194101,2019,1,5676
194201,2019,1,4722
194107,2019,1,2336
194401,2019,1,1998
194103,2019,1,1938
194102,2019,1,1275
194105,2019,1,1020
194106,2019,1,902
194703,2019,1,788
leh ladakh,2019,2,28390
kargil,2019,2,7126
194104,2019,2,8074
194101,2019,2,6990
194201,2019,2,5567
194107,2019,2,2793
194103,2019,2,2432
194401,2019,2,2390
194102,2019,2,1584
194105,2019,2,1258
194106,2019,2,1097
194703,2019,2,949
leh ladakh,2019,3,31455
kargil,2019,3,7718
194104,2019,3,8972
194101,2019,3,7968
194201,2019,3,6210
194107,2019,3,3004
194103,2019,3,2647
194401,2019,3,2601
194102,2019,3,1723
194105,2019,3,1386
194106,2019,3,1162
194703,2019,3,1014
leh ladakh,2019,4,34770
kargil,2019,4,8338
194104,2019,4,9875
194101,2019,4,8791
194201,2019,4,6838
194107,2019,4,3321
194401,2019,4,2945
194103,2019,4,2850
194102,2019,4,1873
194105,2019,4,1501
194106,2019,4,1304
194703,2019,4,1054
leh ladakh,2020,1,38079
kargil,2020,1,9711
194104,2020,1,10826
194101,2020,1,9668
194201,2020,1,7470
194107,2020,1,3617
194103,2020,1,3320
194401,2020,1,3216
194102,2020,1,2152
194105,2020,1,1776
194106,2020,1,1403
194703,2020,1,1207
leh ladakh,2020,2,41782
kargil,2020,2,11252
194104,2020,2,11904
194101,2020,2,10546
194201,2020,2,8273
194107,2020,2,3957
194103,2020,2,3885
194401,2020,2,3519
194102,2020,2,2449
194105,2020,2,2060
194106,2020,2,1518
194703,2020,2,1358
leh ladakh,2020,3,45587
kargil,2020,3,12814
194104,2020,3,13038
194101,2020,3,11446
194201,2020,3,8999
194103,2020,3,4416
194107,2020,3,4322
194401,2020,3,3865
194102,2020,3,2748
194105,2020,3,2360
194106,2020,3,1661
194703,2020,3,1526
leh ladakh,2020,4,50252
kargil,2020,4,14601
194104,2020,4,14355
194101,2020,4,12651
194201,2020,4,9940
194103,2020,4,5069
194107,2020,4,4681
194401,2020,4,4313
194102,2020,4,3028
194105,2020,4,2673
194106,2020,4,1803
194109,2020,4,1697
leh ladakh,2021,1,54095
kargil,2021,1,15824
194104,2021,1,15511
194101,2021,1,13620
194201,2021,1,10674
194103,2021,1,5484
194107,2021,1,5026
194401,2021,1,4631
194102,2021,1,3256
194105,2021,1,2886
194106,2021,1,1933
194109,2021,1,1854
leh ladakh,2021,2,57971
kargil,2021,2,17077
194104,2021,2,16585
194101,2021,2,14606
194201,2021,2,11446
194103,2021,2,5935
194107,2021,2,5397
194401,2021,2,4964
194102,2021,2,3499
194105,2021,2,3111
194106,2021,2,2070
194109,2021,2,1998
leh ladakh,2021,3,62633
kargil,2021,3,18577
194104,2021,3,17813
194101,2021,3,15772
194201,2021,3,12397
194103,2021,3,6415
194107,2021,3,5819
194401,2021,3,5438
194102,2021,3,3811
194105,2021,3,3389
194106,2021,3,2243
194109,2021,3,2193
leh ladakh,2021,4,67049
kargil,2021,4,20008
194104,2021,4,19007
194101,2021,4,16834
194201,2021,4,13309
194103,2021,4,6889
194107,2021,4,6240
194401,2021,4,5862
194102,2021,4,4093
194105,2021,4,3639
194106,2021,4,2420
194109,2021,4,2397
leh ladakh,2022,1,71173
kargil,2022,1,21319
194104,2022,1,20154
194101,2022,1,17877
194201,2022,1,14135
194103,2022,1,7324
194107,2022,1,6632
194401,2022,1,6231
194102,2022,1,4370
194105,2022,1,3888
194106,2022,1,2563
194109,2022,1,2545
leh ladakh,2022,2,75042
kargil,2022,2,22475
194104,2022,2,21222
194101,2022,2,18842
194201,2022,2,14911
194103,2022,2,7729
194107,2022,2,7006
194401,2022,2,6571
194102,2022,2,4602
194105,2022,2,4102
194106,2022,2,2710
194109,2022,2,2681
leh ladakh,2022,3,78769
kargil,2022,3,23530
194104,2022,3,22353
194101,2022,3,19786
194201,2022,3,15631
194103,2022,3,8113
194107,2022,3,7342
194401,2022,3,6856
194102,2022,3,4828
194105,2022,3,4306
194106,2022,3,2840
194109,2022,3,2791
leh ladakh,2022,4,82011
kargil,2022,4,24326
194104,2022,4,23418
194101,2022,4,20668
194201,2022,4,16206
194103,2022,4,8405
194107,2022,4,7641
194401,2022,4,7055
194102,2022,4,5020
194105,2022,4,4454
194106,2022,4,2943
194109,2022,4,2832
leh ladakh,2023,1,85582
kargil,2023,1,25409
194104,2023,1,24439
194101,2023,1,21580
194201,2023,1,16910
194103,2023,1,8776
194107,2023,1,7971
194401,2023,1,7342
194102,2023,1,5242
194105,2023,1,4663
194106,2023,1,3062
194109,2023,1,2960
leh ladakh,2023,2,89148
kargil,2023,2,26588
194104,2023,2,25357
194101,2023,2,22399
194201,2023,2,17688
194103,2023,2,9138
194107,2023,2,8300
194401,2023,2,7705
194102,2023,2,5492
194105,2023,2,4888
194106,2023,2,3214
194109,2023,2,3100
leh ladakh,2023,3,92688
kargil,2023,3,27747
194104,2023,3,26346
194101,2023,3,23265
194201,2023,3,18391
194103,2023,3,9525
194107,2023,3,8645
194401,2023,3,8019
194102,2023,3,5722
194105,2023,3,5090
194106,2023,3,3343
194109,2023,3,3268
leh ladakh,2023,4,96066
kargil,2023,4,28762
194104,2023,4,27266
194101,2023,4,24102
194201,2023,4,19063
194103,2023,4,9855
194107,2023,4,8985
194401,2023,4,8330
194102,2023,4,5923
194105,2023,4,5300
194106,2023,4,3470
194109,2023,4,3373
leh ladakh,2024,1,99940
kargil,2024,1,30130
194104,2024,1,28293
194101,2024,1,25004
194201,2024,1,19846
194103,2024,1,10311
194107,2024,1,9370
194401,2024,1,8718
194102,2024,1,6205
194105,2024,1,5511
194106,2024,1,3641
194109,2024,1,3567
leh ladakh,2024,2,103519
kargil,2024,2,31183
194104,2024,2,29327
194101,2024,2,25936
194201,2024,2,20571
194103,2024,2,10661
194107,2024,2,9699
194401,2024,2,8989
194102,2024,2,6430
194105,2024,2,5708
194106,2024,2,3760
194109,2024,2,3684
leh ladakh,2024,3,142693
kargil,2024,3,51453
194101,2024,3,47552
194104,2024,3,29719
194201,2024,3,23002
194103,2024,3,21041
194401,2024,3,17437
194102,2024,3,10202
194404,2024,3,8887
194107,2024,3,8116
194703,2024,3,7276
194105,2024,3,5357
leh ladakh,2024,4,141456
kargil,2024,4,52268
194101,2024,4,46975
194104,2024,4,29839
194201,2024,4,22838
194103,2024,4,21608
194401,2024,4,17228
194102,2024,4,10139
194404,2024,4,8572
194107,2024,4,8089
194703,2024,4,7420
194105,2024,4,5431
lakshadweep,2018,1,501
682555,2018,1,175
682557,2018,1,85
682551,2018,1,78
682559,2018,1,71
682552,2018,1,44
682556,2018,1,37
682554,2018,1,10
682558,2018,1,1
lakshadweep,2018,2,686
682555,2018,2,246
682551,2018,2,126
682557,2018,2,94
682559,2018,2,82
682552,2018,2,61
682556,2018,2,56
682554,2018,2,18
682558,2018,2,3
lakshadweep,2018,3,918
682555,2018,3,338
682551,2018,3,175
682557,2018,3,131
682559,2018,3,93
682552,2018,3,86
682556,2018,3,68
682554,2018,3,22
682558,2018,3,5
lakshadweep,2018,4,1156
682555,2018,4,429
682551,2018,4,241
682557,2018,4,148
682559,2018,4,116
682552,2018,4,110
682556,2018,4,84
682554,2018,4,23
682558,2018,4,5
lakshadweep,2019,1,1416
682555,2019,1,549
682551,2019,1,299
682557,2019,1,166
682552,2019,1,132
682559,2019,1,129
682556,2019,1,107
682554,2019,1,29
682558,2019,1,5
lakshadweep,2019,2,1747
682555,2019,2,685
682551,2019,2,367
682557,2019,2,201
682552,2019,2,158
682559,2019,2,155
682556,2019,2,139
682554,2019,2,35
682558,2019,2,7
lakshadweep,2019,3,2117
682555,2019,3,813
682551,2019,3,469
682557,2019,3,243
682552,2019,3,185
682559,2019,3,176
682556,2019,3,173
682554,2019,3,51
682558,2019,3,7
lakshadweep,2019,4,2427
682555,2019,4,923
682551,2019,4,538
682557,2019,4,279
682552,2019,4,212
682559,2019,4,195
682556,2019,4,193
682554,2019,4,77
682558,2019,4,10
lakshadweep,2020,1,2772
682555,2020,1,1032
682551,2020,1,633
682557,2020,1,332
682552,2020,1,248
682556,2020,1,227
682559,2020,1,200
682554,2020,1,89
682558,2020,1,11
lakshadweep,2020,2,3187
682555,2020,2,1178
682551,2020,2,744
682557,2020,2,376
682552,2020,2,274
682556,2020,2,271
682559,2020,2,207
682554,2020,2,121
682558,2020,2,16
lakshadweep,2020,3,3644
682555,2020,3,1334
682551,2020,3,866
682557,2020,3,429
682552,2020,3,323
682556,2020,3,311
682559,2020,3,220
682554,2020,3,142
682558,2020,3,19
lakshadweep,2020,4,4179
682555,2020,4,1530
682551,2020,4,981
682557,2020,4,480
682552,2020,4,388
682556,2020,4,354
682559,2020,4,256
682554,2020,4,168
682558,2020,4,22
lakshadweep,2021,1,4577
682555,2021,1,1664
682551,2021,1,1083
682557,2021,1,524
682552,2021,1,427
682556,2021,1,396
682559,2021,1,276
682554,2021,1,181
682558,2021,1,26
lakshadweep,2021,2,4896
682555,2021,2,1780
682551,2021,2,1154
682557,2021,2,559
682552,2021,2,463
682556,2021,2,424
682559,2021,2,295
682554,2021,2,194
682558,2021,2,27
lakshadweep,2021,3,5287
682555,2021,3,1914
682551,2021,3,1237
682557,2021,3,607
682552,2021,3,504
682556,2021,3,461
682559,2021,3,321
682554,2021,3,212
682558,2021,3,31
lakshadweep,2021,4,5638
682555,2021,4,2037
682551,2021,4,1321
682557,2021,4,654
682552,2021,4,536
682556,2021,4,486
682559,2021,4,339
682554,2021,4,233
682558,2021,4,32
lakshadweep,2022,1,5990
682555,2022,1,2165
682551,2022,1,1400
682557,2022,1,692
682552,2022,1,570
682556,2022,1,519
682559,2022,1,363
682554,2022,1,246
682558,2022,1,35
lakshadweep,2022,2,6327
682555,2022,2,2279
682551,2022,2,1473
682557,2022,2,732
682552,2022,2,609
682556,2022,2,558
682559,2022,2,379
682554,2022,2,261
682558,2022,2,36
lakshadweep,2022,3,6645
682555,2022,3,2391
682551,2022,3,1555
682557,2022,3,766
682552,2022,3,642
682556,2022,3,592
682559,2022,3,389
682554,2022,3,273
682558,2022,3,37
lakshadweep,2022,4,6961
682555,2022,4,2520
682551,2022,4,1627
682557,2022,4,797
682552,2022,4,675
682556,2022,4,609
682559,2022,4,409
682554,2022,4,285
682558,2022,4,39
lakshadweep,2023,1,7267
682555,2023,1,2629
682551,2023,1,1697
682557,2023,1,833
682552,2023,1,703
682556,2023,1,638
682559,2023,1,427
682554,2023,1,298
682558,2023,1,42
lakshadweep,2023,2,7585
682555,2023,2,2739
682551,2023,2,1775
682557,2023,2,867
682552,2023,2,740
682556,2023,2,663
682559,2023,2,446
682554,2023,2,312
682558,2023,2,43
lakshadweep,2023,3,7912
682555,2023,3,2843
682551,2023,3,1866
682557,2023,3,902
682552,2023,3,772
682556,2023,3,693
682559,2023,3,462
682554,2023,3,326
682558,2023,3,48
lakshadweep,2023,4,8225
682555,2023,4,2962
682551,2023,4,1938
682557,2023,4,929
682552,2023,4,802
682556,2023,4,718
682559,2023,4,484
682554,2023,4,340
682558,2023,4,52
lakshadweep,2024,1,8578
682555,2024,1,3091
682551,2024,1,2013
682557,2024,1,987
682552,2024,1,837
682556,2024,1,744
682559,2024,1,502
682554,2024,1,350
682558,2024,1,54
lakshadweep,2024,2,8895
682555,2024,2,3204
682551,2024,2,2089
682557,2024,2,1022
682552,2024,2,874
682556,2024,2,769
682559,2024,2,515
682554,2024,2,365
682558,2024,2,57
lakshadweep,2024,3,11395
682555,2024,3,4177
682551,2024,3,2261
682553,2024,3,1558
682559,2024,3,899
682552,2024,3,893
682556,2024,3,818
682554,2024,3,486
682558,2024,3,299
682557,2024,3,4
lakshadweep,2024,4,11769
682555,2024,4,4299
682551,2024,4,2315
682553,2024,4,1610
682559,2024,4,940
682552,2024,4,926
682556,2024,4,846
682554,2024,4,504
682558,2024,4,324
682557,2024,4,5
indore,2018,1,366977
bhopal,2018,1,307312
gwalior,2018,1,142453
jabalpur,2018,1,115953
ujjain,2018,1,84441
rewa,2018,1,73336
sagar,2018,1,72857
chhindwara,2018,1,65005
dhar,2018,1,63440
dewas,2018,1,62902
452001,2018,1,42977
452010,2018,1,40850
455001,2018,1,37899
482002,2018,1,37645
462001,2018,1,27351
482001,2018,1,26665
452016,2018,1,25256
457001,2018,1,24909
485001,2018,1,24806
462022,2018,1,24661
indore,2018,2,479904
bhopal,2018,2,398498
gwalior,2018,2,193605
jabalpur,2018,2,155624
ujjain,2018,2,113216
rewa,2018,2,100661
sagar,2018,2,100623
chhindwara,2018,2,87704
dhar,2018,2,86280
dewas,2018,2,84342
452001,2018,2,55837
452010,2018,2,52677
455001,2018,2,50091
482002,2018,2,49877
462001,2018,2,36311
482001,2018,2,35303
457001,2018,2,33608
452016,2018,2,32883
480001,2018,2,32800
485001,2018,2,32316
indore,2018,3,585621
bhopal,2018,3,474192
gwalior,2018,3,236305
jabalpur,2018,3,193535
ujjain,2018,3,143770
sagar,2018,3,128283
rewa,2018,3,125803
dhar,2018,3,110726
chhindwara,2018,3,109266
dewas,2018,3,105774
452001,2018,3,67243
452010,2018,3,63537
455001,2018,3,61117
482002,2018,3,60999
462001,2018,3,43609
482001,2018,3,43593
457001,2018,3,41975
480001,2018,3,40061
452016,2018,3,39967
485001,2018,3,39351
indore,2018,4,712479
bhopal,2018,4,571518
gwalior,2018,4,284894
jabalpur,2018,4,248495
ujjain,2018,4,177894
sagar,2018,4,162788
rewa,2018,4,160024
chhindwara,2018,4,139301
dhar,2018,4,137501
satna,2018,4,133865
452001,2018,4,81206
482002,2018,4,77791
452010,2018,4,76811
455001,2018,4,73952
462001,2018,4,54496
482001,2018,4,54390
457001,2018,4,51238
480001,2018,4,50803
485001,2018,4,50329
452016,2018,4,48626
indore,2019,1,844465
bhopal,2019,1,670417
gwalior,2019,1,331504
jabalpur,2019,1,295042
ujjain,2019,1,214818
sagar,2019,1,194467
rewa,2019,1,188803
chhindwara,2019,1,168633
dhar,2019,1,166663
satna,2019,1,160954
452001,2019,1,94894
482002,2019,1,92148
452010,2019,1,89541
455001,2019,1,87837
462001,2019,1,65450
482001,2019,1,64389
457001,2019,1,61687
480001,2019,1,60744
485001,2019,1,59332
452016,2019,1,57554
indore,2019,2,955207
bhopal,2019,2,756839
gwalior,2019,2,373367
jabalpur,2019,2,336963
ujjain,2019,2,247033
sagar,2019,2,219328
rewa,2019,2,211420
chhindwara,2019,2,192226
dhar,2019,2,190659
satna,2019,2,182176
452001,2019,2,108587
482002,2019,2,104846
452010,2019,2,99616
455001,2019,2,98265
462001,2019,2,75250
482001,2019,2,74711
457001,2019,2,70728
480001,2019,2,69139
485001,2019,2,66578
452016,2019,2,65634
indore,2019,3,1071598
bhopal,2019,3,846170
gwalior,2019,3,417846
jabalpur,2019,3,380209
ujjain,2019,3,280589
sagar,2019,3,243729
rewa,2019,3,232367
chhindwara,2019,3,214945
dhar,2019,3,214712
satna,2019,3,203019
452001,2019,3,122796
482002,2019,3,119882
452010,2019,3,110196
455001,2019,3,109090
462001,2019,3,85889
482001,2019,3,85035
457001,2019,3,80045
480001,2019,3,77495
485001,2019,3,74626
452016,2019,3,73956
indore,2019,4,1181500
bhopal,2019,4,926576
gwalior,2019,4,461960
jabalpur,2019,4,422786
ujjain,2019,4,314250
sagar,2019,4,272650
rewa,2019,4,260351
dhar,2019,4,242108
chhindwara,2019,4,240962
satna,2019,4,228680
452001,2019,4,134323
482002,2019,4,134193
452010,2019,4,120352
455001,2019,4,120057
462001,2019,4,96155
482001,2019,4,93550
457001,2019,4,89121
480001,2019,4,85991
485001,2019,4,82766
452016,2019,4,81668
indore,2020,1,1287857
bhopal,2020,1,1003288
gwalior,2020,1,506221
jabalpur,2020,1,462069
ujjain,2020,1,349476
sagar,2020,1,299753
rewa,2020,1,285832
dhar,2020,1,270891
chhindwara,2020,1,268008
satna,2020,1,253988
482002,2020,1,146207
452001,2020,1,144699
455001,2020,1,130830
452010,2020,1,129645
462001,2020,1,106091
482001,2020,1,101513
457001,2020,1,98886
480001,2020,1,94636
485001,2020,1,90615
452016,2020,1,89460
indore,2020,2,1410157
bhopal,2020,2,1080094
gwalior,2020,2,554377
jabalpur,2020,2,507707
ujjain,2020,2,395028
sagar,2020,2,333878
rewa,2020,2,313486
dhar,2020,2,310389
chhindwara,2020,2,302791
satna,2020,2,281414
482002,2020,2,158954
452001,2020,2,153695
455001,2020,2,144023
452010,2020,2,139367
462001,2020,2,116167
457001,2020,2,111581
482001,2020,2,110268
480001,2020,2,104519
452016,2020,2,98532
485001,2020,2,98080
indore,2020,3,1524036
bhopal,2020,3,1162000
gwalior,2020,3,603096
jabalpur,2020,3,555235
ujjain,2020,3,436068
sagar,2020,3,368745
dhar,2020,3,346394
rewa,2020,3,343897
chhindwara,2020,3,336306
satna,2020,3,311884
482002,2020,3,173274
452001,2020,3,162767
455001,2020,3,155823
452010,2020,3,149318
462001,2020,3,127166
457001,2020,3,122974
482001,2020,3,119294
480001,2020,3,114237
485001,2020,3,107317
452016,2020,3,107084
indore,2020,4,1645564
bhopal,2020,4,1249343
gwalior,2020,4,652985
jabalpur,2020,4,604034
ujjain,2020,4,475637
sagar,2020,4,402006
dhar,2020,4,382523
rewa,2020,4,374099
chhindwara,2020,4,370027
satna,2020,4,340632
482002,2020,4,188460
452001,2020,4,173333
455001,2020,4,167885
452010,2020,4,160146
462001,2020,4,138574
457001,2020,4,134427
482001,2020,4,128730
480001,2020,4,124525
474001,2020,4,116379
452016,2020,4,116281
indore,2021,1,1769869
bhopal,2021,1,1340741
gwalior,2021,1,703232
jabalpur,2021,1,650087
ujjain,2021,1,513868
sagar,2021,1,432938
dhar,2021,1,415117
rewa,2021,1,403013
chhindwara,2021,1,399276
satna,2021,1,368299
482002,2021,1,202915
452001,2021,1,185582
455001,2021,1,180488
452010,2021,1,171754
462001,2021,1,149137
457001,2021,1,145248
482001,2021,1,138100
480001,2021,1,134163
474001,2021,1,125599
485001,2021,1,125104
indore,2021,2,1892259
bhopal,2021,2,1431127
gwalior,2021,2,753172
jabalpur,2021,2,695130
ujjain,2021,2,552204
sagar,2021,2,464791
dhar,2021,2,447074
rewa,2021,2,432682
chhindwara,2021,2,428800
satna,2021,2,395440
482002,2021,2,216522
452001,2021,2,198059
455001,2021,2,193208
452010,2021,2,183345
462001,2021,2,159236
457001,2021,2,155865
482001,2021,2,147363
480001,2021,2,143414
474001,2021,2,134469
485001,2021,2,133879
indore,2021,3,2028266
bhopal,2021,3,1531544
gwalior,2021,3,809887
jabalpur,2021,3,745631
ujjain,2021,3,596195
sagar,2021,3,501819
dhar,2021,3,483901
rewa,2021,3,466895
chhindwara,2021,3,462834
satna,2021,3,426929
482002,2021,3,231582
452001,2021,3,211664
455001,2021,3,207599
452010,2021,3,196173
462001,2021,3,170393
457001,2021,3,167859
482001,2021,3,157536
480001,2021,3,153878
474001,2021,3,144518
485001,2021,3,143700
indore,2021,4,2164101
bhopal,2021,4,1633266
gwalior,2021,4,866561
jabalpur,2021,4,796148
ujjain,2021,4,639197
sagar,2021,4,538447
dhar,2021,4,519970
rewa,2021,4,500513
chhindwara,2021,4,495990
satna,2021,4,457858
482002,2021,4,246911
452001,2021,4,225433
455001,2021,4,222066
452010,2021,4,208931
462001,2021,4,181784
457001,2021,4,179603
482001,2021,4,167796
480001,2021,4,164329
474001,2021,4,154609
485001,2021,4,153628
indore,2022,1,2291709
bhopal,2022,1,1729248
gwalior,2022,1,919789
jabalpur,2022,1,844191
ujjain,2022,1,680599
sagar,2022,1,573791
dhar,2022,1,554545
rewa,2022,1,533627
chhindwara,2022,1,528140
satna,2022,1,488378
482002,2022,1,261115
452001,2022,1,238296
455001,2022,1,235768
452010,2022,1,220888
462001,2022,1,192336
457001,2022,1,190837
482001,2022,1,177586
480001,2022,1,174161
474001,2022,1,164039
485001,2022,1,163020
indore,2022,2,2412576
bhopal,2022,2,1820625
gwalior,2022,2,970340
jabalpur,2022,2,889518
ujjain,2022,2,719339
sagar,2022,2,605733
dhar,2022,2,586670
rewa,2022,2,564327
chhindwara,2022,2,557958
satna,2022,2,516107
482002,2022,2,274815
452001,2022,2,250461
455001,2022,2,248656
452010,2022,2,232223
462001,2022,2,202395
457001,2022,2,201497
482001,2022,2,186815
480001,2022,2,183624
474001,2022,2,173002
485001,2022,2,172044
indore,2022,3,2537328
bhopal,2022,3,1915532
gwalior,2022,3,1022539
jabalpur,2022,3,935649
ujjain,2022,3,758373
sagar,2022,3,638100
dhar,2022,3,618777
rewa,2022,3,594588
chhindwara,2022,3,587412
satna,2022,3,544011
482002,2022,3,288913
452001,2022,3,263235
455001,2022,3,262081
452010,2022,3,243950
462001,2022,3,212978
457001,2022,3,212433
482001,2022,3,196282
480001,2022,3,193259
474001,2022,3,182361
485001,2022,3,181296
indore,2022,4,2660518
bhopal,2022,4,2009655
gwalior,2022,4,1073648
jabalpur,2022,4,980428
ujjain,2022,4,794711
sagar,2022,4,667526
dhar,2022,4,648535
rewa,2022,4,622122
chhindwara,2022,4,613456
satna,2022,4,569320
482002,2022,4,303133
452001,2022,4,276072
455001,2022,4,274876
452010,2022,4,255626
462001,2022,4,223606
457001,2022,4,223077
482001,2022,4,205810
480001,2022,4,202602
474001,2022,4,191690
485001,2022,4,190477
indore,2023,1,2780295
bhopal,2023,1,2101098
gwalior,2023,1,1123707
jabalpur,2023,1,1025803
ujjain,2023,1,832451
sagar,2023,1,699722
dhar,2023,1,679569
rewa,2023,1,651354
chhindwara,2023,1,642022
satna,2023,1,596769
482002,2023,1,317133
452001,2023,1,288286
455001,2023,1,287746
452010,2023,1,266938
462001,2023,1,233726
457001,2023,1,233495
482001,2023,1,215070
480001,2023,1,211859
474001,2023,1,200550
485001,2023,1,199604
indore,2023,2,2883610
bhopal,2023,2,2179557
gwalior,2023,2,1168513
jabalpur,2023,2,1065846
ujjain,2023,2,868546
sagar,2023,2,730094
dhar,2023,2,710181
rewa,2023,2,680100
chhindwara,2023,2,670155
satna,2023,2,623076
482002,2023,2,328764
455001,2023,2,299405
452001,2023,2,298290
452010,2023,2,276442
457001,2023,2,243148
462001,2023,2,242442
482001,2023,2,222664
480001,2023,2,220177
474001,2023,2,208417
485001,2023,2,207361
indore,2023,3,2996261
bhopal,2023,3,2265685
gwalior,2023,3,1215484
jabalpur,2023,3,1108465
ujjain,2023,3,905474
sagar,2023,3,761623
dhar,2023,3,740878
rewa,2023,3,708385
chhindwara,2023,3,698604
satna,2023,3,649398
482002,2023,3,341355
455001,2023,3,311925
452001,2023,3,309315
452010,2023,3,286991
457001,2023,3,253258
462001,2023,3,252027
482001,2023,3,231205
480001,2023,3,228883
474001,2023,3,216725
485001,2023,3,215698
indore,2023,4,3098089
bhopal,2023,4,2344171
gwalior,2023,4,1257720
jabalpur,2023,4,1147811
ujjain,2023,4,938748
sagar,2023,4,790240
dhar,2023,4,768839
rewa,2023,4,734299
chhindwara,2023,4,724870
satna,2023,4,673980
482002,2023,4,353272
455001,2023,4,323082
452001,2023,4,319497
452010,2023,4,296338
457001,2023,4,262675
462001,2023,4,260836
482001,2023,4,238911
480001,2023,4,237094
474001,2023,4,224169
485001,2023,4,223650
indore,2024,1,3217251
bhopal,2024,1,2436143
gwalior,2024,1,1307564
jabalpur,2024,1,1193636
ujjain,2024,1,978177
sagar,2024,1,824727
dhar,2024,1,802038
rewa,2024,1,764984
chhindwara,2024,1,756689
satna,2024,1,703168
482002,2024,1,366740
455001,2024,1,336282
452001,2024,1,331435
452010,2024,1,307506
457001,2024,1,273527
462001,2024,1,271089
482001,2024,1,248021
480001,2024,1,246574
474001,2024,1,233063
485001,2024,1,232622
indore,2024,2,3336262
bhopal,2024,2,2528021
gwalior,2024,2,1355896
jabalpur,2024,2,1239008
ujjain,2024,2,1015587
sagar,2024,2,856655
dhar,2024,2,833099
rewa,2024,2,794199
chhindwara,2024,2,785786
satna,2024,2,730055
482002,2024,2,380585
455001,2024,2,349278
452001,2024,2,343271
452010,2024,2,318679
457001,2024,2,284425
462001,2024,2,281535
482001,2024,2,257031
480001,2024,2,255887
474001,2024,2,241767
485001,2024,2,241380
indore,2024,3,3457022
bhopal,2024,3,2456267
gwalior,2024,3,1370838
jabalpur,2024,3,1280233
ujjain,2024,3,1086484
dhar,2024,3,937167
sagar,2024,3,912167
dewas,2024,3,710884
chhindwara,2024,3,702158
ratlam,2024,3,683793
452001,2024,3,686231
482002,2024,3,377496
455001,2024,3,343451
452016,2024,3,327901
474001,2024,3,317564
457001,2024,3,313387
452010,2024,3,307754
462001,2024,3,299292
456006,2024,3,287310
480001,2024,3,268275
indore,2024,4,3561408
bhopal,2024,4,2532916
gwalior,2024,4,1415249
jabalpur,2024,4,1322938
ujjain,2024,4,1122016
dhar,2024,4,967815
sagar,2024,4,944144
dewas,2024,4,732757
chhindwara,2024,4,728140
ratlam,2024,4,706494
452001,2024,4,709324
482002,2024,4,390557
455001,2024,4,353539
452016,2024,4,336239
474001,2024,4,327803
457001,2024,4,323988
452010,2024,4,319204
462001,2024,4,310974
456006,2024,4,297236
480001,2024,4,276681
pune,2018,1,1211643
mumbai suburban,2018,1,719300
thane,2018,1,631864
nashik,2018,1,321402
nagpur,2018,1,280007
aurangabad,2018,1,266324
mumbai,2018,1,233538
ahmednagar,2018,1,197473
solapur,2018,1,190033
raigad,2018,1,173015
410501,2018,1,55174
411057,2018,1,54638
411033,2018,1,53647
411014,2018,1,52495
431003,2018,1,49627
421302,2018,1,48926
421201,2018,1,46211
410206,2018,1,44726
411041,2018,1,41663
411046,2018,1,41385
pune,2018,2,1592293
mumbai suburban,2018,2,957633
thane,2018,2,861292
nashik,2018,2,436668
nagpur,2018,2,380425
aurangabad,2018,2,347838
mumbai,2018,2,319588
ahmednagar,2018,2,268520
solapur,2018,2,259084
palghar,2018,2,239053
410501,2018,2,72841
411057,2018,2,69458
411033,2018,2,68851
411014,2018,2,68126
421302,2018,2,68039
431003,2018,2,64163
421201,2018,2,62765
410206,2018,2,61067
411046,2018,2,54537
411041,2018,2,53923
pune,2018,3,1974138
mumbai suburban,2018,3,1218632
thane,2018,3,1104206
nashik,2018,3,552556
nagpur,2018,3,487280
aurangabad,2018,3,428394
mumbai,2018,3,410878
ahmednagar,2018,3,344804
solapur,2018,3,331428
palghar,2018,3,312322
410501,2018,3,91512
421302,2018,3,88889
411057,2018,3,84490
411014,2018,3,84300
411033,2018,3,82739
421201,2018,3,80013
410206,2018,3,77756
431003,2018,3,76860
400072,2018,3,67915
411046,2018,3,67300
pune,2018,4,2498852
